Week Number,Sick People,New Cases,Immune People,Became Immune,Susceptible People
0,18.0,18.0,0.0,0.0,99982.0
1,58.0,40.0,29994.6,29994.6,69987.4
2,186.899,128.899,29994.6,0.0,69858.501
3,583.497,414.598,30012.6,18.0,69425.903
4,1829.852,1286.356,30052.6,40.0,68099.548
5,5657.911,3956.957,30181.499,128.899,64013.692
6,16744.167,11500.854,30596.097,414.598,52098.239
7,43158.32,27700.508,31882.452,1286.356,23111.375
8,62312.738,23111.375,35839.41,3956.957,0.0
9,50811.884,0.0,47340.264,11500.854,0.0
10,23111.375,0.0,75040.772,27700.508,0.0
11,0.0,0.0,98152.148,23111.375,0.0
